Jurusan,IPK,Bidang_Minat,Keahlian_1,Keahlian_2,Keahlian_3,Kepemimpinan,Komunikasi,Kerja_Tim,Kreativitas,Berpikir_Kritis,Pemecahan_Masalah,Pengalaman_Magang,Pengalaman_Organisasi,Pengalaman_Kompetisi,Jumlah_Sertifikasi,Gaya_Kerja,Preferensi_Industri,Tujuan_Karier,Rekomendasi_Karier
Agroteknologi,3.03,Konsultan,Komunikasi,Machine Learning,Manajemen Proyek,5.0,4.0,4.0,5.0,1.0,1.0,Tidak,Tidak,Ya,3.0,Hybrid,Pendidikan,Wirausaha,Ai Engineer
Bisnis Digital,3.73,Pariwisata,Python,Pemasaran Digital,Kepemimpinan,4.0,3.0,1.0,3.0,1.0,2.0,Tidak,Ya,Ya,5.0,Hybrid,Konsultan,Spesialis,Guru
Pendidikan Matematika,3.19,Keuangan,Riset,Analisis Data,Machine Learning,5.0,2.0,3.0,1.0,1.0,4.0,Tidak,Ya,Tidak,3.0,Remote,Kesehatan,Spesialis,Analis Data
Film,2.82,Teknologi,Riset,Komunikasi,Analisis Data,3.0,3.0,5.0,5.0,3.0,1.0,Tidak,Tidak,Tidak,2.0,Hybrid,Teknologi,Spesialis,Perawat
Matematika,3.64,Manufaktur,Riset,Machine Learning,Kepemimpinan,2.0,4.0,5.0,5.0,4.0,3.0,Tidak,Ya,Tidak,4.0,Onsite,Teknologi,Wirausaha,Software Engineer
Ilmu Komunikasi,3.37,Manufaktur,Komunikasi,Analisis Data,Riset,3.0,4.0,3.0,1.0,4.0,3.0,Tidak,Ya,Tidak,3.0,Remote,Pariwisata,Peneliti,Analis Data
Statistika,3.46,Pariwisata,Sql,Machine Learning,Kepemimpinan,3.0,4.0,2.0,1.0,2.0,1.0,Ya,Tidak,Tidak,3.0,Remote,Pertanian,Peneliti,Diplomat
Ekonomi,3.68,Keuangan,Riset,Kepemimpinan,Desain Grafis,2.0,2.0,2.0,1.0,5.0,4.0,Tidak,Tidak,Tidak,0.0,Hybrid,Konsultan,Wirausaha,Ai Engineer
Informatika,3.06,Teknologi,Desain Grafis,Analisis Data,Manajemen Proyek,3.0,1.0,1.0,3.0,1.0,3.0,Ya,Ya,Ya,1.0,Onsite,Manufaktur,Wirausaha,Analis Data
Hubungan Internasional,2.99,Konsultan,Riset,Manajemen Proyek,Sql,1.0,2.0,3.0,1.0,1.0,3.0,Tidak,Tidak,Ya,3.0,Remote,Pendidikan,Spesialis,Analis Data
Farmasi,3.8,Kesehatan,Sql,Machine Learning,Manajemen Proyek,2.0,1.0,2.0,2.0,1.0,2.0,Ya,Tidak,Tidak,1.0,Remote,Teknologi,Wirausaha,Guru
Pendidikan Matematika,3.95,Teknologi,Sql,Manajemen Proyek,Manajemen Proyek,1.0,4.0,2.0,4.0,4.0,3.0,Ya,Ya,Tidak,3.0,Hybrid,Pariwisata,Wirausaha,Dokter
Hukum,3.68,Kesehatan,Desain Grafis,Sql,Analisis Data,2.0,2.0,1.0,5.0,3.0,1.0,Tidak,Tidak,Ya,0.0,Hybrid,Pemerintahan,Wirausaha,Ai Engineer
Teknik Lingkungan,3.76,Manufaktur,Python,Kepemimpinan,Desain Grafis,3.0,1.0,3.0,1.0,3.0,3.0,Ya,Tidak,Tidak,1.0,Remote,Teknologi,Peneliti,Analis Data
Administrasi Publik,3.73,Keuangan,Machine Learning,Analisis Data,Manajemen Proyek,5.0,1.0,3.0,5.0,5.0,3.0,Ya,Tidak,Tidak,1.0,Remote,Pertanian,Peneliti,Dokter
Manajemen,3.21,Teknologi,Python,Kepemimpinan,Analisis Data,1.0,3.0,4.0,1.0,2.0,5.0,Ya,Tidak,Ya,4.0,Remote,Manufaktur,Spesialis,Animator
Fisika,3.5,Pariwisata,Pemasaran Digital,Komunikasi,Sql,5.0,1.0,5.0,1.0,1.0,2.0,Ya,Ya,Tidak,3.0,Remote,Teknologi,Manajer,Arsitek
Sistem Informasi,3.39,Kesehatan,Riset,Riset,Manajemen Proyek,3.0,3.0,3.0,5.0,1.0,5.0,Ya,Ya,Tidak,5.0,Onsite,Keuangan,Wirausaha,Business Analyst
Ekonomi,3.48,Pariwisata,Desain Grafis,Riset,Sql,3.0,2.0,3.0,5.0,5.0,1.0,Tidak,Tidak,Ya,5.0,Hybrid,Media,Peneliti,Guru
Arsitektur,3.38,Keuangan,Machine Learning,Pemasaran Digital,Machine Learning,2.0,3.0,2.0,3.0,1.0,5.0,Ya,Tidak,Tidak,2.0,Hybrid,Konsultan,Wirausaha,Jurnalis
Psikologi,3.78,Pendidikan,Kepemimpinan,Riset,Kepemimpinan,2.0,2.0,4.0,3.0,3.0,4.0,Tidak,Tidak,Tidak,1.0,Hybrid,Pertanian,Spesialis,Business Analyst
Ekonomi,3.71,Keuangan,Machine Learning,Machine Learning,Riset,2.0,4.0,1.0,5.0,5.0,5.0,Ya,Tidak,Tidak,2.0,Remote,Manufaktur,Wirausaha,Guru
Pendidikan Bahasa Inggris,2.94,Keuangan,Analisis Data,Analisis Data,Machine Learning,2.0,3.0,1.0,3.0,2.0,2.0,Ya,Ya,Ya,5.0,Hybrid,Kesehatan,Spesialis,Ai Engineer
Administrasi Publik,2.86,Keuangan,Komunikasi,Python,Python,3.0,1.0,4.0,2.0,5.0,1.0,Tidak,Tidak,Tidak,5.0,Onsite,Media,Peneliti,Animator
Perikanan,2.96,Kesehatan,Riset,Riset,Komunikasi,4.0,3.0,3.0,3.0,2.0,1.0,Ya,Ya,Ya,0.0,Hybrid,Manufaktur,Peneliti,Animator
Arsitektur,2.92,Teknologi,Komunikasi,Machine Learning,Desain Grafis,1.0,4.0,2.0,3.0,2.0,5.0,Tidak,Tidak,Tidak,0.0,Remote,Pariwisata,Peneliti,Diplomat
Teknik Lingkungan,2.92,Pemerintahan,Riset,Komunikasi,Komunikasi,1.0,3.0,4.0,4.0,3.0,1.0,Ya,Tidak,Tidak,2.0,Hybrid,Manufaktur,Spesialis,Data Scientist
Manajemen,3.55,Pemerintahan,Machine Learning,Machine Learning,Riset,5.0,3.0,5.0,1.0,2.0,2.0,Tidak,Ya,Ya,4.0,Remote,Konsultan,Peneliti,Perawat
Teknik Elektro,3.21,Manufaktur,Pemasaran Digital,Sql,Sql,3.0,1.0,1.0,4.0,3.0,2.0,Tidak,Tidak,Tidak,3.0,Onsite,Manufaktur,Manajer,Guru
Pendidikan Bahasa Inggris,3.05,Manufaktur,Manajemen Proyek,Manajemen Proyek,Analisis Data,2.0,3.0,5.0,4.0,5.0,1.0,Ya,Tidak,Ya,1.0,Hybrid,Pertanian,Peneliti,Data Scientist
Akuntansi,3.06,Pemerintahan,Komunikasi,Pemasaran Digital,Manajemen Proyek,5.0,1.0,3.0,3.0,3.0,3.0,Ya,Ya,Tidak,3.0,Hybrid,Teknologi,Manajer,Ai Engineer
Kimia,3.76,Keuangan,Machine Learning,Komunikasi,Manajemen Proyek,3.0,5.0,1.0,3.0,1.0,3.0,Ya,Tidak,Ya,1.0,Onsite,Pemerintahan,Wirausaha,Business Analyst
Film,3.74,Manufaktur,Python,Pemasaran Digital,Analisis Data,5.0,4.0,3.0,1.0,5.0,1.0,Ya,Tidak,Ya,1.0,Remote,Pariwisata,Spesialis,Business Analyst
Kesehatan Masyarakat,3.21,Teknologi,Kepemimpinan,Manajemen Proyek,Kepemimpinan,2.0,2.0,4.0,2.0,3.0,3.0,Ya,Ya,Ya,5.0,Remote,Pemerintahan,Wirausaha,Ai Engineer
Dkv,3.71,Pertanian,Machine Learning,Pemasaran Digital,Python,5.0,1.0,5.0,4.0,3.0,5.0,Ya,Ya,Ya,3.0,Remote,Konsultan,Peneliti,Business Analyst
Sistem Informasi,3.62,Teknologi,Manajemen Proyek,Desain Grafis,Machine Learning,5.0,1.0,3.0,2.0,1.0,4.0,Tidak,Ya,Ya,5.0,Onsite,Pariwisata,Manajer,Ai Engineer
Teknik Sipil,3.04,Media,Pemasaran Digital,Komunikasi,Analisis Data,2.0,4.0,1.0,1.0,4.0,3.0,Tidak,Ya,Tidak,3.0,Hybrid,Pariwisata,Spesialis,Software Engineer
Akuntansi,2.84,Pertanian,Manajemen Proyek,Komunikasi,Python,2.0,5.0,2.0,5.0,4.0,4.0,Tidak,Ya,Tidak,2.0,Hybrid,Keuangan,Spesialis,Data Scientist
Teknik Lingkungan,2.88,Pemerintahan,Komunikasi,Kepemimpinan,Sql,4.0,3.0,3.0,4.0,2.0,1.0,Ya,Ya,Tidak,1.0,Hybrid,Pemerintahan,Spesialis,Analis Data
Informatika,3.21,Media,Manajemen Proyek,Komunikasi,Python,3.0,1.0,1.0,5.0,1.0,4.0,Tidak,Tidak,Ya,5.0,Remote,Pemerintahan,Peneliti,Dokter
Biologi,3.99,Manufaktur,Analisis Data,Python,Komunikasi,2.0,4.0,5.0,5.0,2.0,2.0,Tidak,Tidak,Ya,1.0,Hybrid,Konsultan,Wirausaha,Guru
Kimia,3.04,Manufaktur,Manajemen Proyek,Komunikasi,Python,5.0,1.0,3.0,3.0,5.0,2.0,Tidak,Tidak,Ya,5.0,Hybrid,Kesehatan,Spesialis,Guru
Teknik Industri,3.09,Pertanian,Riset,Machine Learning,Manajemen Proyek,3.0,2.0,2.0,3.0,3.0,2.0,Tidak,Ya,Ya,2.0,Onsite,Pemerintahan,Manajer,Ai Engineer
Kesehatan Masyarakat,3.48,Kesehatan,Analisis Data,Machine Learning,Manajemen Proyek,2.0,2.0,1.0,5.0,1.0,4.0,Ya,Ya,Tidak,1.0,Hybrid,Manufaktur,Wirausaha,Software Engineer
Biologi,3.02,Manufaktur,Analisis Data,Sql,Sql,3.0,4.0,3.0,3.0,1.0,3.0,Ya,Tidak,Ya,4.0,Onsite,Pertanian,Peneliti,Ai Engineer
Farmasi,3.44,Manufaktur,Pemasaran Digital,Sql,Riset,2.0,5.0,2.0,3.0,2.0,3.0,Ya,Tidak,Ya,2.0,Hybrid,Media,Peneliti,Business Analyst
Arsitektur,2.83,Pendidikan,Riset,Manajemen Proyek,Machine Learning,2.0,3.0,1.0,1.0,4.0,3.0,Ya,Tidak,Tidak,1.0,Remote,Keuangan,Manajer,Business Analyst
Informatika,2.95,Konsultan,Machine Learning,Sql,Manajemen Proyek,1.0,5.0,3.0,3.0,4.0,1.0,Ya,Ya,Tidak,2.0,Hybrid,Pertanian,Peneliti,Animator
Pendidikan Matematika,3.14,Pertanian,Sql,Desain Grafis,Komunikasi,1.0,4.0,2.0,5.0,4.0,3.0,Tidak,Ya,Ya,2.0,Remote,Konsultan,Manajer,Business Analyst
Fisika,3.43,Pendidikan,Pemasaran Digital,Sql,Sql,3.0,5.0,1.0,3.0,3.0,4.0,Tidak,Tidak,Tidak,4.0,Remote,Pertanian,Spesialis,Jurnalis
Informatika,3.36,Pariwisata,Riset,Kepemimpinan,Python,5.0,4.0,1.0,1.0,5.0,2.0,Ya,Ya,Tidak,4.0,Onsite,Teknologi,Peneliti,Diplomat
Dkv,3.6,Teknologi,Manajemen Proyek,Desain Grafis,Kepemimpinan,3.0,2.0,3.0,3.0,1.0,1.0,Ya,Tidak,Ya,1.0,Hybrid,Pertanian,Manajer,Jurnalis
Hukum,3.61,Kesehatan,Pemasaran Digital,Kepemimpinan,Pemasaran Digital,3.0,2.0,5.0,3.0,1.0,5.0,Tidak,Tidak,Ya,1.0,Remote,Pemerintahan,Spesialis,Dokter
Agribisnis,3.26,Keuangan,Komunikasi,Pemasaran Digital,Kepemimpinan,5.0,4.0,4.0,2.0,1.0,2.0,Ya,Tidak,Tidak,1.0,Remote,Media,Spesialis,Data Scientist
Pariwisata,3.67,Keuangan,Kepemimpinan,Machine Learning,Machine Learning,5.0,1.0,4.0,4.0,3.0,4.0,Tidak,Ya,Tidak,1.0,Onsite,Media,Manajer,Perawat
Perikanan,3.84,Pendidikan,Desain Grafis,Pemasaran Digital,Kepemimpinan,1.0,5.0,5.0,2.0,1.0,5.0,Tidak,Tidak,Ya,1.0,Remote,Konsultan,Manajer,Diplomat
Pgsd,3.68,Konsultan,Manajemen Proyek,Manajemen Proyek,Sql,4.0,4.0,1.0,1.0,1.0,5.0,Ya,Tidak,Ya,3.0,Onsite,Pendidikan,Manajer,Guru
Farmasi,3.18,Kesehatan,Desain Grafis,Komunikasi,Desain Grafis,4.0,5.0,3.0,2.0,1.0,3.0,Ya,Ya,Ya,3.0,Remote,Media,Spesialis,Arsitek
Psikologi,2.95,Pariwisata,Komunikasi,Pemasaran Digital,Manajemen Proyek,2.0,1.0,2.0,4.0,5.0,3.0,Tidak,Tidak,Tidak,4.0,Hybrid,Konsultan,Manajer,Perawat
Dkv,3.71,Pertanian,Riset,Sql,Pemasaran Digital,4.0,3.0,1.0,3.0,3.0,2.0,Tidak,Ya,Ya,0.0,Hybrid,Manufaktur,Peneliti,Dokter
Administrasi Publik,3.7,Keuangan,Manajemen Proyek,Pemasaran Digital,Python,5.0,4.0,3.0,2.0,2.0,3.0,Ya,Ya,Ya,3.0,Remote,Teknologi,Peneliti,Jurnalis
Psikologi,3.82,Konsultan,Machine Learning,Kepemimpinan,Analisis Data,3.0,5.0,3.0,3.0,3.0,3.0,Tidak,Tidak,Tidak,1.0,Remote,Pariwisata,Peneliti,Analis Data
Teknik Sipil,3.19,Media,Python,Komunikasi,Sql,3.0,3.0,3.0,4.0,5.0,2.0,Tidak,Tidak,Tidak,4.0,Hybrid,Pariwisata,Spesialis,Guru
Kimia,3.68,Pariwisata,Sql,Analisis Data,Desain Grafis,2.0,2.0,1.0,5.0,2.0,1.0,Tidak,Ya,Tidak,3.0,Onsite,Pertanian,Spesialis,Business Analyst
Perhotelan,3.16,Keuangan,Sql,Python,Kepemimpinan,1.0,5.0,2.0,3.0,3.0,2.0,Tidak,Ya,Tidak,3.0,Onsite,Konsultan,Spesialis,Jurnalis
Pendidikan Bahasa Inggris,3.28,Pariwisata,Desain Grafis,Machine Learning,Kepemimpinan,2.0,3.0,3.0,5.0,4.0,1.0,Tidak,Tidak,Ya,2.0,Hybrid,Media,Wirausaha,Jurnalis
Fisika,3.09,Konsultan,Manajemen Proyek,Python,Sql,5.0,3.0,2.0,5.0,1.0,3.0,Ya,Ya,Tidak,5.0,Remote,Media,Spesialis,Perawat
Akuntansi,3.45,Pemerintahan,Pemasaran Digital,Desain Grafis,Sql,2.0,1.0,4.0,4.0,4.0,5.0,Ya,Tidak,Ya,5.0,Hybrid,Konsultan,Peneliti,Software Engineer
Hukum,3.11,Pariwisata,Analisis Data,Desain Grafis,Riset,2.0,2.0,2.0,3.0,1.0,2.0,Tidak,Tidak,Ya,3.0,Hybrid,Pendidikan,Wirausaha,Animator
Bisnis Digital,2.87,Kesehatan,Kepemimpinan,Manajemen Proyek,Machine Learning,2.0,4.0,1.0,1.0,1.0,1.0,Tidak,Ya,Ya,4.0,Remote,Media,Manajer,Animator
Sistem Informasi,3.55,Pemerintahan,Desain Grafis,Kepemimpinan,Desain Grafis,5.0,1.0,1.0,5.0,3.0,1.0,Ya,Ya,Tidak,1.0,Remote,Pemerintahan,Manajer,Perawat
Pendidikan Matematika,3.3,Manufaktur,Kepemimpinan,Pemasaran Digital,Desain Grafis,2.0,2.0,3.0,3.0,3.0,3.0,Tidak,Ya,Ya,5.0,Hybrid,Manufaktur,Wirausaha,Arsitek
Farmasi,3.37,Keuangan,Python,Komunikasi,Machine Learning,5.0,5.0,4.0,5.0,5.0,3.0,Ya,Ya,Ya,1.0,Hybrid,Konsultan,Peneliti,Analis Data
Kedokteran,3.67,Pertanian,Kepemimpinan,Sql,Python,2.0,1.0,3.0,5.0,1.0,3.0,Ya,Tidak,Ya,5.0,Onsite,Manufaktur,Manajer,Analis Data
Keperawatan,3.51,Keuangan,Machine Learning,Analisis Data,Sql,2.0,1.0,5.0,1.0,3.0,5.0,Tidak,Tidak,Tidak,4.0,Hybrid,Teknologi,Spesialis,Dokter
Sistem Informasi,3.37,Pendidikan,Sql,Kepemimpinan,Sql,3.0,5.0,1.0,4.0,2.0,2.0,Tidak,Tidak,Tidak,2.0,Remote,Pertanian,Spesialis,Jurnalis
Perhotelan,2.97,Pariwisata,Manajemen Proyek,Analisis Data,Riset,2.0,4.0,4.0,4.0,3.0,1.0,Ya,Ya,Ya,5.0,Hybrid,Teknologi,Manajer,Software Engineer
Dkv,3.71,Manufaktur,Analisis Data,Pemasaran Digital,Riset,2.0,2.0,2.0,4.0,1.0,1.0,Ya,Tidak,Ya,5.0,Remote,Manufaktur,Peneliti,Akuntan
Perikanan,2.75,Pariwisata,Manajemen Proyek,Sql,Kepemimpinan,2.0,2.0,1.0,3.0,2.0,2.0,Tidak,Ya,Ya,0.0,Hybrid,Media,Manajer,Jurnalis
Pariwisata,3.23,Teknologi,Machine Learning,Manajemen Proyek,Sql,4.0,3.0,4.0,1.0,4.0,2.0,Tidak,Ya,Tidak,1.0,Remote,Konsultan,Wirausaha,Arsitek
Teknik Lingkungan,3.6,Keuangan,Riset,Pemasaran Digital,Sql,4.0,1.0,3.0,2.0,2.0,2.0,Tidak,Tidak,Tidak,1.0,Remote,Keuangan,Spesialis,Animator
Pendidikan Bahasa Inggris,3.21,Pendidikan,Desain Grafis,Manajemen Proyek,Desain Grafis,3.0,3.0,3.0,4.0,5.0,5.0,Tidak,Tidak,Tidak,0.0,Onsite,Teknologi,Manajer,Konsultan
Hukum,2.84,Manufaktur,Komunikasi,Desain Grafis,Sql,3.0,3.0,2.0,3.0,2.0,2.0,Ya,Tidak,Ya,1.0,Remote,Pertanian,Peneliti,Data Scientist
Manajemen,3.0,Teknologi,Analisis Data,Sql,Python,2.0,2.0,3.0,5.0,3.0,5.0,Tidak,Ya,Ya,0.0,Onsite,Konsultan,Wirausaha,Jurnalis
Teknik Elektro,3.02,Pendidikan,Python,Analisis Data,Desain Grafis,2.0,4.0,3.0,1.0,3.0,1.0,Ya,Ya,Ya,5.0,Hybrid,Pertanian,Wirausaha,Arsitek
Kedokteran,3.29,Konsultan,Analisis Data,Python,Kepemimpinan,2.0,1.0,5.0,3.0,1.0,2.0,Ya,Ya,Ya,4.0,Onsite,Pendidikan,Manajer,Software Engineer
Film,3.1,Keuangan,Komunikasi,Riset,Komunikasi,5.0,2.0,1.0,5.0,3.0,2.0,Ya,Tidak,Ya,0.0,Remote,Pemerintahan,Manajer,Animator
Sistem Informasi,3.32,Manufaktur,Desain Grafis,Python,Riset,1.0,4.0,3.0,4.0,1.0,2.0,Tidak,Ya,Ya,5.0,Hybrid,Pendidikan,Spesialis,Data Scientist
Psikologi,3.84,Pariwisata,Pemasaran Digital,Komunikasi,Riset,3.0,2.0,4.0,5.0,4.0,3.0,Ya,Ya,Ya,0.0,Onsite,Konsultan,Spesialis,Animator
Statistika,3.74,Konsultan,Kepemimpinan,Kepemimpinan,Machine Learning,2.0,3.0,3.0,2.0,2.0,2.0,Ya,Ya,Ya,1.0,Onsite,Pemerintahan,Wirausaha,Data Scientist
Ekonomi,3.85,Pertanian,Kepemimpinan,Kepemimpinan,Kepemimpinan,5.0,2.0,3.0,1.0,2.0,5.0,Ya,Ya,Tidak,3.0,Remote,Pemerintahan,Peneliti,Ai Engineer
Teknik Elektro,3.14,Pariwisata,Analisis Data,Riset,Manajemen Proyek,5.0,4.0,2.0,3.0,3.0,3.0,Ya,Ya,Tidak,1.0,Hybrid,Teknologi,Wirausaha,Guru
Manajemen,3.5,Konsultan,Sql,Python,Python,4.0,2.0,4.0,4.0,2.0,4.0,Tidak,Ya,Tidak,1.0,Onsite,Pariwisata,Peneliti,Software Engineer
Manajemen,3.38,Media,Riset,Kepemimpinan,Kepemimpinan,4.0,5.0,3.0,3.0,1.0,3.0,Ya,Ya,Ya,0.0,Remote,Konsultan,Wirausaha,Guru
Matematika,2.79,Pertanian,Analisis Data,Analisis Data,Manajemen Proyek,1.0,4.0,1.0,2.0,2.0,5.0,Ya,Tidak,Ya,1.0,Onsite,Pertanian,Spesialis,Konsultan
Arsitektur,3.83,Pertanian,Desain Grafis,Pemasaran Digital,Riset,3.0,5.0,2.0,4.0,3.0,2.0,Ya,Tidak,Tidak,5.0,Onsite,Kesehatan,Spesialis,Animator
Pendidikan Bahasa Inggris,3.08,Pertanian,Python,Riset,Kepemimpinan,4.0,3.0,2.0,5.0,3.0,5.0,Ya,Tidak,Tidak,1.0,Remote,Pertanian,Wirausaha,Guru
Keperawatan,3.46,Keuangan,Komunikasi,Machine Learning,Manajemen Proyek,5.0,3.0,4.0,4.0,4.0,4.0,Ya,Ya,Ya,0.0,Onsite,Keuangan,Peneliti,Data Scientist
Perhotelan,3.86,Konsultan,Pemasaran Digital,Machine Learning,Komunikasi,3.0,1.0,5.0,3.0,1.0,4.0,Ya,Ya,Ya,3.0,Hybrid,Manufaktur,Spesialis,Konsultan
Animasi,3.34,Keuangan,Manajemen Proyek,Riset,Analisis Data,1.0,3.0,3.0,5.0,3.0,1.0,Ya,Ya,Tidak,4.0,Remote,Keuangan,Manajer,Jurnalis
Sistem Informasi,3.61,Manufaktur,Pemasaran Digital,Pemasaran Digital,Desain Grafis,3.0,5.0,2.0,2.0,3.0,3.0,Ya,Tidak,Ya,3.0,Remote,Pertanian,Wirausaha,Perawat
Film,3.46,Manufaktur,Pemasaran Digital,Riset,Manajemen Proyek,4.0,3.0,4.0,5.0,4.0,1.0,Tidak,Tidak,Ya,2.0,Remote,Pariwisata,Wirausaha,Data Scientist
Farmasi,3.93,Keuangan,Kepemimpinan,Manajemen Proyek,Pemasaran Digital,5.0,4.0,5.0,3.0,5.0,5.0,Tidak,Ya,Ya,3.0,Onsite,Kesehatan,Spesialis,Software Engineer
Biologi,2.92,Pertanian,Analisis Data,Manajemen Proyek,Desain Grafis,1.0,4.0,5.0,3.0,2.0,5.0,Tidak,Ya,Tidak,3.0,Remote,Manufaktur,Manajer,Data Scientist
Akuntansi,2.79,Pariwisata,Analisis Data,Sql,Analisis Data,5.0,4.0,4.0,3.0,3.0,4.0,Ya,Ya,Ya,5.0,Hybrid,Media,Peneliti,Diplomat
Perhotelan,3.17,Teknologi,Desain Grafis,Machine Learning,Pemasaran Digital,3.0,2.0,4.0,4.0,1.0,2.0,Tidak,Tidak,Ya,0.0,Hybrid,Keuangan,Manajer,Data Scientist
Akuntansi,3.52,Pariwisata,Machine Learning,Riset,Manajemen Proyek,5.0,2.0,2.0,3.0,2.0,5.0,Tidak,Ya,Tidak,3.0,Hybrid,Pariwisata,Peneliti,Data Scientist
Akuntansi,3.33,Kesehatan,Machine Learning,Kepemimpinan,Pemasaran Digital,2.0,3.0,4.0,5.0,1.0,3.0,Tidak,Ya,Tidak,0.0,Remote,Pariwisata,Manajer,Dokter
Arsitektur,3.03,Pendidikan,Riset,Kepemimpinan,Komunikasi,5.0,3.0,2.0,5.0,3.0,2.0,Ya,Ya,Ya,4.0,Remote,Pemerintahan,Spesialis,Data Scientist
Biologi,3.73,Konsultan,Python,Sql,Kepemimpinan,4.0,3.0,4.0,3.0,2.0,4.0,Tidak,Tidak,Ya,0.0,Hybrid,Teknologi,Wirausaha,Analis Data
Ekonomi,3.8,Konsultan,Kepemimpinan,Sql,Desain Grafis,4.0,1.0,3.0,4.0,2.0,3.0,Tidak,Ya,Ya,0.0,Hybrid,Manufaktur,Peneliti,Guru
Hukum,3.14,Kesehatan,Analisis Data,Python,Riset,5.0,1.0,4.0,3.0,3.0,5.0,Tidak,Tidak,Ya,5.0,Hybrid,Pemerintahan,Peneliti,Perawat
Ekonomi,2.87,Kesehatan,Sql,Komunikasi,Python,3.0,2.0,1.0,2.0,5.0,1.0,Ya,Tidak,Tidak,3.0,Onsite,Manufaktur,Spesialis,Ai Engineer
Pariwisata,3.07,Teknologi,Kepemimpinan,Machine Learning,Komunikasi,4.0,1.0,5.0,1.0,1.0,3.0,Tidak,Ya,Ya,2.0,Hybrid,Kesehatan,Manajer,Animator
Ilmu Komunikasi,3.45,Pemerintahan,Python,Machine Learning,Manajemen Proyek,3.0,5.0,3.0,1.0,4.0,1.0,Ya,Ya,Ya,4.0,Onsite,Pemerintahan,Wirausaha,Jurnalis
Biologi,3.0,Teknologi,Kepemimpinan,Python,Python,1.0,3.0,2.0,1.0,2.0,1.0,Tidak,Tidak,Tidak,4.0,Onsite,Pendidikan,Spesialis,Diplomat
Manajemen,4.0,Keuangan,Pemasaran Digital,Manajemen Proyek,Analisis Data,2.0,3.0,4.0,5.0,4.0,4.0,Tidak,Ya,Tidak,3.0,Hybrid,Pemerintahan,Wirausaha,Jurnalis
Farmasi,3.14,Pertanian,Python,Desain Grafis,Analisis Data,1.0,4.0,1.0,1.0,2.0,1.0,Tidak,Ya,Tidak,0.0,Onsite,Manufaktur,Spesialis,Analis Data
Biologi,3.09,Pemerintahan,Desain Grafis,Analisis Data,Machine Learning,4.0,4.0,3.0,1.0,1.0,1.0,Ya,Ya,Ya,0.0,Hybrid,Pariwisata,Manajer,Arsitek
Akuntansi,3.79,Media,Kepemimpinan,Python,Pemasaran Digital,3.0,4.0,2.0,4.0,3.0,3.0,Ya,Ya,Tidak,2.0,Hybrid,Pemerintahan,Manajer,Akuntan
Agribisnis,3.53,Manufaktur,Desain Grafis,Manajemen Proyek,Desain Grafis,2.0,2.0,3.0,5.0,5.0,5.0,Ya,Tidak,Tidak,0.0,Hybrid,Media,Peneliti,Ai Engineer
Pgsd,2.96,Keuangan,Komunikasi,Machine Learning,Analisis Data,1.0,2.0,2.0,1.0,5.0,4.0,Ya,Tidak,Ya,3.0,Hybrid,Kesehatan,Manajer,Business Analyst
Informatika,3.26,Teknologi,Desain Grafis,Pemasaran Digital,Analisis Data,4.0,2.0,2.0,1.0,5.0,3.0,Ya,Tidak,Ya,5.0,Onsite,Pertanian,Peneliti,Guru
Teknik Elektro,3.87,Teknologi,Machine Learning,Komunikasi,Machine Learning,1.0,2.0,2.0,1.0,3.0,2.0,Ya,Tidak,Tidak,5.0,Hybrid,Pertanian,Wirausaha,Analis Data
Administrasi Publik,2.78,Pendidikan,Pemasaran Digital,Machine Learning,Sql,4.0,5.0,3.0,5.0,4.0,5.0,Ya,Ya,Ya,4.0,Remote,Kesehatan,Peneliti,Akuntan
Hubungan Internasional,3.87,Teknologi,Analisis Data,Riset,Komunikasi,4.0,2.0,4.0,1.0,1.0,3.0,Ya,Tidak,Ya,2.0,Remote,Manufaktur,Manajer,Business Analyst
Kimia,3.78,Pertanian,Kepemimpinan,Manajemen Proyek,Kepemimpinan,3.0,3.0,5.0,5.0,2.0,4.0,Tidak,Ya,Ya,1.0,Remote,Media,Wirausaha,Konsultan
Keperawatan,3.07,Kesehatan,Manajemen Proyek,Sql,Pemasaran Digital,4.0,2.0,5.0,2.0,1.0,1.0,Ya,Ya,Tidak,1.0,Onsite,Teknologi,Spesialis,Jurnalis
Ekonomi,3.25,Pendidikan,Riset,Machine Learning,Analisis Data,2.0,5.0,3.0,3.0,4.0,2.0,Tidak,Ya,Ya,2.0,Remote,Kesehatan,Peneliti,Akuntan
Manajemen,3.23,Pendidikan,Sql,Sql,Machine Learning,4.0,2.0,4.0,5.0,5.0,3.0,Tidak,Tidak,Tidak,4.0,Remote,Kesehatan,Peneliti,Business Analyst
Teknik Sipil,3.37,Pertanian,Manajemen Proyek,Manajemen Proyek,Komunikasi,5.0,3.0,4.0,1.0,2.0,1.0,Ya,Tidak,Ya,3.0,Hybrid,Pemerintahan,Wirausaha,Konsultan
Fisika,3.15,Pariwisata,Kepemimpinan,Kepemimpinan,Riset,1.0,3.0,2.0,4.0,3.0,1.0,Tidak,Ya,Ya,0.0,Remote,Manufaktur,Spesialis,Jurnalis
Keperawatan,3.97,Keuangan,Python,Desain Grafis,Pemasaran Digital,4.0,3.0,4.0,3.0,1.0,5.0,Ya,Ya,Tidak,3.0,Remote,Media,Peneliti,Diplomat
